RING PLANE CROSSING ,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,
"and Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S49,108,Descending Ring Crossing,2009-094T02:10,Apr04,20.914
S49,108,Ascending Ring Crossing,2009-101T08:57,Apr11,19.418
S49,109,Descending Ring Crossing,2009-110T00:41,Apr20,20.894
S49,109,Ascending Ring Crossing,2009-116T10:43,Apr26,18.663
S50,110,Descending Ring Crossing,2009-125T23:13,May05,20.877
S50,110,Ascending Ring Crossing,2009-131T12:48,May11,17.32
S50,111,Descending Ring Crossing,2009-141T21:47,May21,20.819
S50,111,Ascending Ring Crossing,2009-146T07:02,May26,14.4
S50,112,Descending Ring Crossing,2009-157T20:20,Jun06,20.799
S50,112,Ascending Ring Crossing,2009-161T08:05,Jun10,11.214
S51,113,Descending Ring Crossing,2009-173T18:54,Jun22,20.775
S51,113,Ascending Ring Crossing,2009-176T15:07,Jun25,8.296
S51,114,Descending Ring Crossing,2009-189T17:28,Jul08,20.744
S51,114,Ascending Ring Crossing,2009-192T02:58,Jul11,5.932
S52,115,Descending Ring Crossing,2009-205T16:05,Jul24,20.694
S52,115,Ascending Ring Crossing,2009-207T18:31,Jul26,4.206
S52,116,Descending Ring Crossing,2009-221T14:55,Aug09,20.579
S52,116,Ascending Ring Crossing,2009-223T12:59,Aug11,3.131
S53,117,Descending Ring Crossing,2009-237T14:55,Aug25,20.194
S53,117,Ascending Ring Crossing,2009-239T14:08,Aug27,4.878
S53,118,Descending Ring Crossing,2009-261T14:49,Sep18,20.011
S53,118,Ascending Ring Crossing,2009-263T13:28,Sep20,4.88
S54,119,Descending Ring Crossing,2009-286T05:50,Oct13,13.526
S54,119,Ascending Ring Crossing,2009-287T07:52,Oct14,3.797
S54,120,Descending Ring Crossing,2009-305T15:06,Nov01,9.244
S54,120,Ascending Ring Crossing,2009-306T08:36,Nov02,4.355
S55,121,Descending Ring Crossing,2009-324T15:11,Nov20,9.49
S55,121,Ascending Ring Crossing,2009-325T09:06,Nov21,4.308
S55,122,Descending Ring Crossing,2009-343T15:27,Dec09,9.756
S55,122,Ascending Ring Crossing,2009-344T09:49,Dec10,4.26
S55,122,Descending Ring Crossing,2009-346T16:23,Dec12,24.336
S56,123,Ascending Ring Crossing,2009-360T04:50,Dec26,2.692
S56,123,Descending Ring Crossing,2009-362T02:57,Dec28,21.038
S56,124,Ascending Ring Crossing,2010-011T01:56,Jan11,3.21
S56,124,Descending Ring Crossing,2010-013T02:03,Jan13,21.098
S57,125,Ascending Ring Crossing,2010-027T03:01,Jan27,2.74
S57,125,Descending Ring Crossing,2010-028T20:30,Jan28,19.637
S57,125,Ascending Ring Crossing,2010-032T04:15,Feb01,35.215
S57,126,Descending Ring Crossing,2010-044T16:23,Feb13,2.94
S57,126,Ascending Ring Crossing,2010-049T13:28,Feb18,34.745
S58,127,Descending Ring Crossing,2010-062T01:50,Mar03,4.372
S58,127,Ascending Ring Crossing,2010-062T15:17,Mar03,7.13
S58,128,Descending Ring Crossing,2010-079T17:02,Mar20,4.401
S58,128,Ascending Ring Crossing,2010-080T06:22,Mar21,7.044
