Cassini Tour of Events Summary,,,,,,,
Periapse Parameters,,,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,,,
"Latitude = planetocentric latitude, the phase is the angle formed at the planet center",,,,,,,
" by the solar and spacecraft vectors and Rs = 60,268 km",,,,,,,
Seq,Rev,Epoch (SCET),Date,Latitude (deg),Phase (deg),Period (days),Range (Rs)
S98,268,2017-095T10:02,Apr05,-9,41,7.2,2.461
S99,269,2017-102T14:01,Apr12,-9,41,7.2,2.466
S99,270,2017-109T18:06,Apr19,-9,41,7.2,2.467
S99,271,2017-116T09:45,Apr26,-5,36,6.5,1.061
S99,272,2017-122T20:47,May02,-5,36,6.5,1.060
S99,273,2017-129T07:45,May09,-6,35,6.5,1.056
S99,274,2017-135T18:36,May15,-6,35,6.5,1.055
S99,275,2017-142T05:29,May22,-6,35,6.5,1.056
S99,276,2017-148T16:57,May28,-6,34,6.5,1.072
S99,277,2017-155T04:31,Jun04,-6,34,6.5,1.072
S99,278,2017-161T15:58,Jun10,-6,34,6.5,1.063
S100,279,2017-168T03:18,Jun17,-6,34,6.5,1.062
S100,280,2017-174T14:36,Jun23,-6,34,6.5,1.063
S100,281,2017-181T02:07,Jun30,-6,33,6.5,1.067
S100,282,2017-187T13:42,Jul06,-6,33,6.5,1.067
S100,283,2017-194T01:08,Jul13,-7,33,6.5,1.052
S100,284,2017-200T12:29,Jul19,-7,33,6.5,1.050
S100,285,2017-206T23:47,Jul25,-7,33,6.5,1.051
S100,286,2017-213T11:10,Aug01,-7,34,6.5,1.052
S100,287,2017-219T22:37,Aug07,-7,34,6.5,1.052
S100,288,2017-226T09:46,Aug14,-7,34,6.5,1.030
S100,289,2017-232T20:59,Aug20,-7,34,6.5,1.029
S101,290,2017-239T08:08,Aug27,-7,34,6.5,1.028
S101,291,2017-245T19:17,Sep02,-7,35,6.5,1.028
S101,292,2017-252T06:28,Sep09,-7,35,6.5,1.028
S101,293,2017-258T17:08,Sep15,-7,35,6.4,0.983
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
